platform,title,channel,published_at,public_view_count,checked_at_utc,canonical_url,topic,primary_hook,inclusion_reason,verification_surface
YouTube,쿠팡에서 이건 꼭 사세요!! 유럽여행 꼭 필요한 준비물 TOP3 #내돈내산,리뷰한다 송미니,2025-04-24T09:30:37Z,3742681,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=sch2sNCSf4o,여행 준비/짐,C 숫자·기간·규모 대비,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,"[EN] 잠자리는 미정, 재미는 확정인 P들의 숙소 지옥｜풍향고2 EP.1 오스트리아 빈 #유재석 #이성민 #지석진 #양세찬",뜬뜬 DdeunDdeun,2026-01-24T00:00:06Z,12472476,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=XH_RhjO5d5c,여행 후기/장면,C 숫자·기간·규모 대비,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,치앙마이 한달살기? 장기거주? 직접 살아본 치앙마이 숙소 비교 ㅣ무반과 콘도 여러분은 어디서 사실래요?,치앙마이 스뗄라네 Stella's in Chiang Mai,2024-08-29T09:45:02Z,755794,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=zS1GKvhBxyM,장기여행/한달살기,A 선택 + 제약,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,두 달 유럽 배낭여행 준비물 리스트 #배낭여행 #유럽여행 #배낭준비물,비지보이 busyboy,2023-09-11T14:50:48Z,200143,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=1nDb_QH4FFw,미니멀 여행,J 특정 상황의 실행 팁,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,혼자 여행가지 나랑 왜 왔니? | #커플브이로그 #연애 #커플여행,티오킴,2025-09-12T10:16:43Z,1991909,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=tdY1c4xnhbk,부부 여행,F 관계의 마찰·합의,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,혼전순결 부부가 신혼여행 갔을 때 특징,1분순삭,2025-03-31T14:10:33Z,2361365,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=SdgTKPOedZ8,신혼여행,F 관계의 마찰·합의,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,계획짜지마❌ 부산 2박3일 여행코스 정해줌🇰🇷#travelvlog #부산 #부산여행 #여행유튜버 #오륙도 #광안리 #부산브이로그 #여행브이로그 #busan #부산맛집 #국내여행,주이노트 JuyNote,2025-04-13T10:38:36Z,930684,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=69lIB3fMvBU,여행 기록,H 기록 방식 / 남긴 것,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,유럽에서 캐리어 잃어버리면 노답인 이유 #shorts,지나친텐션 Hightension JEENA,2023-10-23T14:16:12Z,3586543,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=X65gINvQFwo,여행 준비/짐,J 특정 상황의 실행 팁,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,[EN] 둥근 해가 뜨면 오픈런 해야만 하는 P들의 모임｜풍향고2 EP.2 오스트리아 빈 #유재석 #이성민 #지석진 #양세찬,뜬뜬 DdeunDdeun,2026-01-31T00:00:06Z,10256877,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=LwHTxxMa7Fo,여행 후기/장면,C 숫자·기간·규모 대비,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,"발리 여행, '이거'만 안해도 성공입니다 #bali #travel #발리 #발리여행 #여행 #한달살기 #발리한달살기 #해외여행",호짱짱,2025-02-12T07:38:45Z,729800,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=w-Df2c6dfl4,장기여행/한달살기,G 현지의 비관광 장면,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
